00 Die
A8 TutorialEnableClientEvent
A9 TutorialCloseHtml
AA ShowRadar
AB WithdrawAlliance
AC OustAllianceMemberPledge
AD DismissAlliance
AE SetAllianceCrest
AF AllianceCrest
B0 ServerCloseSocket
B1 PetStatusShow
B2 PetInfo
B3 PetItemList
B4 PetInventoryUpdate
B5 AllianceInfo
B6 PetStatusUpdate
B7 PetDelete
B8 DeleteRadar
B9 MyTargetSelected
BA PartyMemberPosition
BB AskJoinAlliance
BC JoinAlliance
BD PrivateStoreBuyManageList
BE PrivateStoreBuyList
BF PrivateStoreBuyMsg
C0 VehicleStart
C1 RequestTimeCheck
C2 StartAllianceWar
C3 ReplyStartAllianceWar
C4 StopAllianceWar
C5 ReplyStopAllianceWar
C6 SurrenderAllianceWar
C7 SkillCoolTime
C8 PackageToList
C9 CastleSiegeInfo
CA CastleSiegeAttackerList
CB CastleSiegeDefenderList
CC NickNameChanged
CD PledgeStatusChanged
CE RelationChanged
CF EventTrigger
D0 MultiSellList
D1 SetSummonRemainTime
D2 PackageSendableList
D3 EarthQuake
D4 FlyToLocation
D5 BlockList
D6 SpecialCamera
D7 NormalCamera
D8 SkillRemainSec
D9 NetPing
DA Dice
DB Snoop
DC RecipeBookItemList
DD RecipeItemMakeInfo
DE RecipeShopManageList
DF RecipeShopSellList
E0 RecipeShopItemInfo
E1 RecipeShopMsg
E2 ShowCalc
E3 MonRaceInfo
E4 HennaItemInfo
E5 HennaInfo
E6 HennaUnequipList
E7 HennaUnequipInfo
E8 MacroList
E9 BuyListSeed
EA ShowTownMap
EB ObserverStart
EC ObserverEnd
ED ChairSit
EE HennaEquipList
EF SellListProcure
F0 GMHennaInfo
F1 RadarControl
F2 ClientSetTime
F3 ConfirmDlg
F4 PartySpelled
F5 ShopPreviewList
F6 ShopPreviewInfo
F7 CameraMode
F8 ShowXMasSeal
F9 EtcStatusUpdate
FA ShortBuffStatusUpdate
FB SSQStatus
FC PetitionVote
FD AgitDecoInfo
FE:01 ExRegenMax
FE:02 ExEventMatchUserInfo
FE:03 ExColosseumFenceInfo
FE:04 ExEventMatchSpelledInfo
FE:05 ExEventMatchFirecracker
FE:06 ExEventMatchTeamUnlocked
FE:07 ExEventMatchGMTest
FE:08 ExPartyRoomMember
FE:09 ExClosePartyRoom
FE:0A ExManagePartyRoomMember
FE:0B ExEventMatchLockResult
FE:0C ExAutoSoulShot
FE:0D ExEventMatchList
FE:0E ExEventMatchObserver
FE:0F ExEventMatchMessage
FE:10 ExEventMatchScore
FE:11 ExServerPrimitive
FE:12 ExOpenMPCC
FE:13 ExCloseMPCC
FE:14 ExShowCastleInfo
FE:15 ExShowFortressInfo
FE:16 ExShowAgitInfo
FE:17 ExShowFortressSiegeInfo
FE:18 ExPartyPetWindowAdd
FE:19 ExPartyPetWindowUpdate
FE:1A ExAskJoinMPCC
FE:1B ExPledgeEmblem
FE:1C ExEventMatchTeamInfo
FE:1D ExEventMatchCreate
FE:1E ExFishingStart
FE:1F ExFishingEnd
FE:20 ExShowQuestInfo
FE:21 ExShowQuestMark
FE:22 ExSendManorList
FE:23 ExShowSeedInfo
FE:24 ExShowCropInfo
FE:25 ExShowManorDefaultInfo
FE:26 ExShowSeedSetting
FE:27 ExFishingStartCombat
FE:28 ExFishingHpRegen
FE:29 ExEnchantSkillList
FE:2A ExEnchantSkillInfo
FE:2B ExShowCropSetting
FE:2C ExShowSellCropList
FE:2D ExOlympiadMatchEnd
FE:2E ExMailArrived
FE:2F ExStorageMaxCount
FE:30 ExEventMatchManage
FE:31 ExMultiPartyCommandChannelInfo
FE:32 ExPCCafePointInfo
FE:33 ExSetCompassZoneCode
FE:34 ExGetBossRecord
FE:35 ExAskJoinPartyRoom
FE:36 ExListPartyMatchingWaitingRoom
FE:37 ExSetMpccRouting
FE:38 ExShowAdventurerGuideBook
FE:39 ExShowScreenMessage
FE:3A PledgeSkillList
FE:3B PledgeSkillListAdd
FE:3C PledgePowerGradeList
FE:3D PledgeReceivePowerInfo
FE:3E PledgeReceiveMemberInfo
FE:3F PledgeReceiveWarList
FE:40 PledgeReceiveSubPledgeCreated
FE:41 ExRedSky
FE:42 PledgeReceiveUpdatePower
FE:43 FlySelfDestination
FE:44 ShowPCCafeCouponShowUI
FE:45 ExSearchOrc
FE:46 ExCursedWeaponList
FE:47 ExCursedWeaponLocation
FE:48 ExRestartClient
FE:49 ExRequestHackShield
FE:4A ExUseSharedGroupItem
FE:4B ExMPCCShowPartyMemberInfo
FE:4C ExDuelAskStart
FE:4D ExDuelReady
FE:4E ExDuelStart
FE:4F ExDuelEnd
FE:50 ExDuelUpdateUserInfo
FE:51 ExShowVariationMakeWindow
FE:52 ExShowVariationCancelWindow
FE:53 ExPutItemResultForVariationMake
FE:54 ExPutIntensiveResultForVariationMake
FE:55 ExPutCommissionResultForVariationMake
FE:56 ExVariationResult
FE:57 ExPutItemResultForVariationCancel
FE:58 ExVariationCancelResult
FE:59 ExDuelEnemyRelation
FE:5A ExPlayAnimation
FE:5B ExMPCCPartyInfoUpdate
FE:5C ExPlayScene
FE:5D ExSpawnEmitter
FE:5E ExEnchantSkillInfoDetail
FE:5F ExBasicActionList
FE:60 ExAirShipInfo
FE:61 ExAttributeEnchantResult
FE:62 ExChooseInventoryAttributeItem
FE:63 ExGetOnAirShip
FE:64 ExGetOffAirShip
FE:65 ExMoveToLocationAirShip
FE:66 ExStopMoveAirShip
FE:67 ExShowTrace
FE:68 ExItemAuctionInfo
FE:69 ExNeedToChangeName
FE:6A ExPartyPetWindowDelete
FE:6B ExTutorialList
FE:6C ExRpItemLink
FE:6D ExMoveToLocationInAirShip
FE:6E ExStopMoveInAirShip
FE:6F ExValidateLocationInAirShip
FE:70 ExUISetting
FE:71 ExMoveToTargetInAirShip
FE:72 ExAttackInAirShip
FE:73 ExMagicSkillUseInAirShip
FE:74 ExShowBaseAttributeCancelWindow
FE:75 ExBaseAttributeCancelResult
FE:76 ExSubPledgeSkillAdd
FE:77 ExResponseFreeServer
FE:78 ExShowProcureCropDetail
FE:79 ExHeroList
FE:7A ExOlympiadUserInfo
FE:7B ExOlympiadSpelledInfo
FE:7C ExOlympiadMode
FE:7D ExShowFortressMapInfo
FE:7E ExPVPMatchRecord
FE:7F ExPVPMatchUserDie
FE:80 ExPrivateStorePackageMsg
FE:81 ExPutEnchantTargetItemResult
FE:82 ExPutEnchantSupportItemResult
FE:83 ExRequestChangeNicknameColor
FE:84 ExGetBookMarkInfo
FE:85 ExNotifyPremiumItem
FE:86 ExGetPremiumItemList
FE:87 ExPeriodicItemList
FE:88 ExJumpToLocation
FE:89 ExPVPMatchCCRecord
FE:8A ExPVPMatchCCMyRecord
FE:8B ExPVPMatchCCRetire
FE:8C ExShowTerritory
FE:8D ExNpcQuestHtmlMessage
FE:8E ExSendUIEvent
FE:8F ExNotifyBirthDay
FE:90 ExShowDominionRegistry
FE:91 ExReplyRegisterDominion
FE:92 ExReplyDominionInfo
FE:93 ExShowOwnthingPos
FE:94 ExCleftList
FE:95 ExCleftState
FE:96 ExDominionChannelSet
FE:97 ExBlockUpSetList
FE:98 ExBlockUpSetState
FE:99 ExStartScenePlayer
FE:9A ExAirShipTeleportList
FE:9B ExMpccRoomInfo
FE:9C ExListMpccWaiting
FE:9D ExDissmissMpccRoom
FE:9E ExManageMpccRoomMember
FE:9F ExMpccRoomMember
FE:A0 ExVitalityPointInfo
FE:A1 ExShowSeedMapInfo
FE:A2 ExMpccPartymasterList
FE:A3 ExDominionWarStart
FE:A4 ExDominionWarEnd
FE:A5 ExShowLines
FE:A6 ExPartyMemberRenamed
FE:A7 ExEnchantSkillResult
FE:A8 ExRefundList
FE:A9 ExNoticePostArrived
FE:AA ExShowReceivedPostList
FE:AB ExReplyReceivedPost
FE:AC ExShowSentPostList
FE:AD ExReplySentPost
FE:AE ExResponseShowStepOne
FE:AF ExResponseShowStepTwo
FE:B0 ExResponseShowContents
FE:B1 ExShowPetitionHtml
FE:B2 ExReplyPostItemList
FE:B3 ExChangePostState
FE:B4 ExNoticePostSent
FE:B5 ExInitializeSeed
FE:B6 ExRaidReserveResult
FE:B7 ExBuySellList
FE:B8 ExCloseRaidSocket
FE:B9 ExPrivateMarketList
FE:BA ExRaidCharacterSelected
FE:BB ExAskCoupleAction
FE:BC ExBrBroadcastEventState
FE:BD ExBrLoadEventTopRankers
FE:BE ExChangeNpcState
FE:BF ExAskModifyPartyLooting
FE:C0 ExSetPartyLooting
FE:C1 ExRotation
FE:C2 ExChangeClientEffectInfo
FE:C3 ExMembershipInfo
FE:C4 ExReplyHandOverPartyMaster
FE:C5 ExQuestNpcLogList
FE:C6 ExQuestItemList
FE:C7 ExGMViewQuestItemList
FE:C8 ExRestartResponse
FE:C9 ExVoteSystemInfo
FE:CA ExShuttleInfo
FE:CB ExSuttleGetOn
FE:CC ExSuttleGetOff
FE:CD ExSuttleMove
FE:CE ExMoveToLocationInSuttle
FE:CF ExStopMoveInShuttle
FE:D0 ExValidateLocationInShuttle
FE:D1 ExAgitAuctionCmd
FE:D2 ExConfirmAddingPostFriend
FE:D3 ExReceiveShowPostFriend
FE:D4 ExReceiveOlympiad
FE:D5 ExBR_GamePoint
FE:D6 ExBR_ProductList
FE:D7 ExBR_ProductInfo
FE:D8 ExBR_BuyProduct
FE:D9 ExBR_PremiumState
FE:DA ExBrExtraUserInfo
FE:DB ExBrBuffEventState
FE:DC ExBR_RecentProductList
FE:DD ExBR_MinigameLoadScores
FE:DE ExBR_AgathionEnergyInfo
FE:DF ExNavitAdventPointInfo
FE:E0 ExNavitAdventEffect
FE:E1 ExNavitAdventTimeChange
FE:E2 ExGoodsInventoryChangedNotify
FE:E3 ExGoodsInventoryInfo
FE:E4 ExGoodsInventoryResult
FE:E5 Ex2ndPasswordCheck
FE:E6 Ex2ndPasswordVerify
FE:E7 Ex2ndPasswordAck
FE:E8 ExSay2Fail
