00 SendLogOut
88 RequestTutorialClientEvent
89 RequestPetition
8A RequestPetitionCancel
8B RequestGMList
8C RequestJoinAlly
8D RequestAnswerJoinAlly
8E RequestWithdrawAlly
8F RequestOustAlly
90 RequestDismissAlly
91 RequestSetAllyCrest
92 RequestAllyCrest
93 RequestChangePetName
94 RequestPetUseItem
95 RequestGiveItemToPet
96 RequestPrivateStoreSellQuit
97 SetPrivateStoreSellMsg
98 RequestPetGetItem
99 RequestPrivateStoreBuyManageList
9A SetPrivateStoreBuyList
9B ReplyStopAllianceWar
9C RequestPrivateStoreBuyManageQuit
9D SetPrivateStoreBuyMsg
9F SendPrivateStoreSellList
A0 SendTimeCheck
A6 RequestSkillCoolTime
A7 RequestPackageSendableItemList
A8 RequestPackageSend
A9 RequestBlock
AA RequestCastleSiegeInfo
AB RequestCastleSiegeAttackerList
AC RequestCastleSiegeDefenderList
AD RequestJoinCastleSiege
AE RequestConfirmCastleSiegeWaitingList
AF RequestSetCastleSiegeTime
B0 RequestMultiSellChoose
B1 NetPing
B2 RequestRemainTime
B3 BypassUserCmd
B4 GMSnoopEnd
B5 RequestRecipeBookOpen
B6 RequestRecipeItemDelete
B7 RequestRecipeItemMakeInfo
B8 RequestRecipeItemMakeSelf
B9 RequestRecipeShopManageList
BA RequestRecipeShopMessageSet
BB RequestRecipeShopListSet
BC RequestRecipeShopManageQuit
BD RequestRecipeShopManageCancel
BE RequestRecipeShopMakeInfo
BF RequestRecipeShopMakeDo
C0 RequestRecipeShopSellList
C1 RequestObserverEnd
C2 VoteSociality
C3 RequestHennaItemList
C4 RequestHennaItemInfo
C5 RequestBuySeed
C6 ConfirmDlg
C7 RequestPreviewItem
C8 RequestSSQStatus
C9 PetitionVote
CB ReplyGameGuardQuery
CC RequestPledgePower
CD RequestMakeMacro
CE RequestDeleteMacro
CF RequestProcureCrop
D0:01 RequestManorList
D0:02 RequestProcureCropList
D0:03 RequestSetSeed
D0:04 RequestSetCrop
D0:05 RequestWriteHeroWords
D0:06 RequestExAskJoinMPCC
D0:07 RequestExAcceptJoinMPCC
D0:08 RequestExOustFromMPCC
D0:09 RequestOustFromPartyRoom
D0:0A RequestDismissPartyRoom
D0:0B RequestWithdrawPartyRoom
D0:0C RequestHandOverPartyMaster
D0:0D RequestAutoSoulShot
D0:0E RequestExEnchantSkillInfo
D0:0F RequestExEnchantSkill
D0:10 RequestExPledgeCrestLarge
D0:11 RequestExSetPledgeCrestLarge
D0:12 RequestPledgeSetAcademyMaster
D0:13 RequestPledgePowerGradeList
D0:14 RequestPledgeMemberPowerInfo
D0:15 RequestPledgeSetMemberPowerGrade
D0:16 RequestPledgeMemberInfo
D0:17 RequestPledgeWarList
D0:18 RequestExFishRanking
D0:19 RequestPCCafeCouponUse
D0:1A RequestExOrcMove
D0:1B RequestDuelStart
D0:1C RequestDuelAnswerStart
D0:1D RequestExSetTutorial
D0:1E RequestExRqItemLink
D0:1F RequestCannotMoveAnymoreAirShip
D0:20 RequestMoveToLocationInAirShip
D0:21 RequestKeyMapping
D0:22 RequestSaveKeyMapping
D0:23 RequestExRemoveItemAttribute
D0:24 RequestSaveInventoryOrder
D0:25 RequestExitPartyMatchingWaitingRoom
D0:26 RequestConfirmTargetItem
D0:27 RequestConfirmRefinerItem
D0:28 RequestConfirmGemStone
D0:29 RequestOlympiadObserverEnd
D0:2A RequestCursedWeaponList
D0:2B RequestCursedWeaponLocation
D0:2C RequestPledgeReorganizeMember
D0:2D RequestExMPCCShowPartyMembersInfo
D0:2F RequestAskJoinPartyRoom
D0:30 AnswerJoinPartyRoom
D0:31 RequestListPartyMatchingWaitingRoom
D0:32 RequestExEnchantSkillSafe
D0:33 RequestExEnchantSkillUntrain
D0:34 RequestExEnchantSkillChange
D0:35 RequestExEnchantItemAttribute
D0:36 RequestExGetOnAirShip
D0:37 RequestExGetOffAirShip
D0:38 RequestMoveToLocationAirShip
D0:39 RequestBidItemAuction
D0:3A RequestInfoItemAuction
D0:3B RequestExChangeName
D0:3C RequestAllCastleInfo
D0:3D RequestAllFortressInfo
D0:3E RequestAllAgitInfo
D0:3F RequestFortressSiegeInfo
D0:40 RequestGetBossRecord
D0:41 RequestRefine
D0:42 RequestConfirmCancelItem
D0:43 RequestRefineCancel
D0:44 RequestExMagicSkillUseGround
D0:45 RequestDuelSurrender
D0:46 RequestExEnchantSkillInfoDetail
D0:48 RequestFortressMapInfo
D0:49 RequestPVPMatchRecord
D0:4A SetPrivateStoreWholeMsg
D0:4B RequestDispel
D0:4C RequestExTryToPutEnchantTargetItem
D0:4D RequestExTryToPutEnchantSupportItem
D0:4E RequestExCancelEnchantItem
D0:4F RequestChangeNicknameColor
D0:50 RequestResetNickname
D0:51:00 RequestBookMarkSlotInfo
D0:51:01 RequestSaveBookMarkSlot
D0:51:02 RequestModifyBookMarkSlot
D0:51:03 RequestDeleteBookMarkSlot
D0:51:04 RequestTeleportBookMark
D0:51:05 RequestChangeBookMarkSlot
D0:52 RequestWithDrawPremiumItem
D0:53 RequestJump
D0:54 RequestStartShowCrataeCubeRank
D0:55 RequestStopShowCrataeCubeRank
D0:56 RequestNotifyStartMiniGame
D0:57 RequestJoinDominionWar
D0:58 RequestDominionInfo
D0:59 RequestExCleftEnter
D0:5A:00 RequestExBlockGameEnter
D0:5B RequestEndScenePlayer
D0:5C RequestExBlockGameVote
D0:5D RequestListMpccWaiting
D0:5E RequestManageMpccRoom
D0:5F RequestJoinMpccRoom
D0:60 RequestOustFromMpccRoom
D0:61 RequestDismissMpccRoom
D0:62 RequestWithdrawMpccRoom
D0:63 RequestSeedPhase
D0:64 RequestMpccPartymasterList
D0:65 RequestPostItemList
D0:66 RequestSendPost
D0:67 RequestReceivedPostList
D0:68 RequestDeleteReceivedPost
D0:69 RequestReceivedPost
D0:6A RequestReceivePost
D0:6B RequestRejectPost
D0:6C RequestSentPostList
D0:6D RequestDeleteSentPost
D0:6E RequestSentPost
D0:6F RequestCancelSentPost
D0:70 RequestShowNewUserPetition
D0:71 RequestExShowStepTwo
D0:72 RequestExShowStepThree
D0:73 RequestExConnectToRaidServer
D0:74 RequestExReturnFromRaidServer
D0:75 RequestRefundItem
D0:76 RequestBuySellUIClose
D0:77 RequestEventMatchObserverEnd
D0:78 RequestPartyLootingModify
D0:79 RequestAnswerPartyLootingModify
D0:7A RequestAnswerCoupleAction
D0:7B RequestExBR_EventRankerList
D0:7C RequestAskMemberShip
D0:7D RequestAddExpandQuestAlarm
D0:7E RequestNewVoteSystem
D0:83:01 RequestExAgitInitialize
D0:83:02 RequestExAgitDetailInfo
D0:83:03 RequestExMyAgitState
D0:83:04 RequestExRegisterAgitForBidStep1
D0:83:05 RequestExRegisterAgitForBidStep3
D0:83:07 RequestExConfirmCancelRegisteringAgit
D0:83:08 RequestExProceedCancelRegisteringAgit
D0:83:09 RequestExConfirmCancelAgitLot
D0:83:0A RequestExProceedCancelAgitLot
D0:83:0D RequestExApplyForBidStep1
D0:83:0E RequestExApplyForBidStep2
D0:83:0F RequestExApplyForBidStep3
D0:83:10 RequestExReBid
D0:83:11 RequestExAgitListForLot
D0:83:12 RequestExApplyForAgitLotStep1
D0:83:13 RequestExApplyForAgitLotStep2
D0:83:14 RequestExAgitListForBid
D0:84 RequestExAddPostFriendForPostBox
D0:85 RequestExDeletePostFriendForPostBox
D0:86 RequestExShowPostFriendListForPostBox
D0:87 RequestExFriendListForPostBox
D0:88 RequestOlympiadMatchList
D0:89 RequestBR_GamePoint
D0:8A RequestBR_ProductList
D0:8B RequestBR_ProductInfo
D0:8C RequestBR_BuyProduct
D0:8D RequestBR_RecentProductList
D0:8E RequestBR_MiniGameLoadScores
D0:8F RequestBR_MiniGameInsertScore
D0:90 RequestBR_LectureMark
D0:91 RequestGoodsInventoryInfo
D0:92 RequestUseGoodsInventoryItem
D0:93 RequestEx2ndPasswordCheck
D0:94 RequestEx2ndPasswordVerify
D0:95 RequestEx2ndPasswordReq
D0:96 RequestHardWareInfo
